ambiguous_fraction,drawer_contradiction_median,drawer_preferred_fraction,drawer_support_median,drawer_support_p25,drawer_supported_frames,evidence_margin,high_confidence_drawer,label,original_frame_id,proposal_id,q_span_used_m,reason,sampled_points,seed_overlap_ratio,source_layer,static_contradiction_median,static_preferred_fraction,static_support_median,static_support_p25,static_supported_frames,target_frame_count,valid_pixels
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_0,0.0,invalid_insufficient_depth,0,0.0,0,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_1,0.0,invalid_insufficient_depth,0,0.0,1,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_6,0.0,invalid_insufficient_depth,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_7,0.0,invalid_insufficient_depth,0,0.0,7,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_8,0.0,invalid_insufficient_depth,0,0.0,8,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_15,0.0,invalid_insufficient_depth,0,0.0,15,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_19,0.0,invalid_insufficient_depth,0,0.0,19,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_23,0.0,invalid_insufficient_depth,0,0.0,23,1.0,0.0,0.0,0.0,0,0,0
0.4041666666666667,1.0,0.1825,0.0,0.0,4,0.0,False,unknown,177,frame_177_layer_24,0.3002295680213606,unknown_ambiguous,1200,0.0,24,1.0,0.41333333333333333,0.0,0.0,5,28,3262
0.8975,0.9446307117539994,0.065,0.05536928824600057,0.029166666666666667,4,-0.021872260946422584,False,unknown,177,frame_177_layer_25,0.3002295680213606,unknown_seed_geometry_conflict,1200,0.998567335243553,25,0.9336945812807882,0.0375,0.06630541871921183,0.05272211232476133,3,28,2792
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_26,0.0,invalid_insufficient_depth,0,0.0,26,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_27,0.0,invalid_insufficient_depth,0,0.0,27,1.0,0.0,0.0,0.0,0,0,0
0.8191666666666667,1.0,0.07666666666666666,0.0,0.0,1,0.0,False,unknown,177,frame_177_layer_28,0.3002295680213606,unknown_ambiguous,1200,0.0,28,1.0,0.10416666666666667,0.0,0.0,1,28,5814
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,178,frame_178_layer_0,0.0,invalid_insufficient_depth,0,0.0,0,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,178,frame_178_layer_1,0.0,invalid_insufficient_depth,0,0.0,1,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,178,frame_178_layer_6,0.0,invalid_insufficient_depth,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,178,frame_178_layer_7,0.0,invalid_insufficient_depth,0,0.0,7,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,178,frame_178_layer_8,0.0,invalid_insufficient_depth,0,0.0,8,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,178,frame_178_layer_15,0.0,invalid_insufficient_depth,0,0.0,15,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,178,frame_178_layer_19,0.0,invalid_insufficient_depth,0,0.0,19,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,178,frame_178_layer_23,0.0,invalid_insufficient_depth,0,0.0,23,1.0,0.0,0.0,0.0,0,0,0
0.4041666666666667,1.0,0.1825,0.0,0.0,4,0.0,False,unknown,178,frame_178_layer_24,0.3002295680213606,unknown_ambiguous,1200,0.0,24,1.0,0.41333333333333333,0.0,0.0,5,28,2995
0.9208333333333333,0.9383590547383651,0.04583333333333333,0.061640945261634925,0.04298922539312755,4,0.011163320340183414,False,unknown,178,frame_178_layer_25,0.3002295680213606,unknown_seed_geometry_conflict,1200,0.9972222222222222,25,0.9439407149084569,0.03333333333333333,0.05605928509154316,0.045791366906474826,3,28,2880
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,178,frame_178_layer_26,0.0,invalid_insufficient_depth,0,0.0,26,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,178,frame_178_layer_27,0.0,invalid_insufficient_depth,0,0.0,27,1.0,0.0,0.0,0.0,0,0,0
0.7733333333333333,1.0,0.1125,0.0,0.0,1,0.0,False,unknown,178,frame_178_layer_28,0.3002295680213606,unknown_ambiguous,1200,0.0,28,1.0,0.11416666666666667,0.0,0.0,1,28,5813
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,179,frame_179_layer_0,0.0,invalid_insufficient_depth,0,0.0,0,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,179,frame_179_layer_1,0.0,invalid_insufficient_depth,0,0.0,1,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,179,frame_179_layer_6,0.0,invalid_insufficient_depth,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,179,frame_179_layer_7,0.0,invalid_insufficient_depth,0,0.0,7,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,179,frame_179_layer_8,0.0,invalid_insufficient_depth,0,0.0,8,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,179,frame_179_layer_15,0.0,invalid_insufficient_depth,0,0.0,15,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,179,frame_179_layer_19,0.0,invalid_insufficient_depth,0,0.0,19,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,179,frame_179_layer_23,0.0,invalid_insufficient_depth,0,0.0,23,1.0,0.0,0.0,0.0,0,0,0
0.37666666666666665,1.0,0.19833333333333333,0.0,0.0,2,0.0,False,unknown,179,frame_179_layer_24,0.3002295680213606,unknown_ambiguous,1200,0.0,24,1.0,0.425,0.0,0.0,4,28,2836
0.9025,0.9371183834834176,0.06583333333333333,0.06288161651658247,0.03899280575539568,4,-0.009085251815319939,False,unknown,179,frame_179_layer_25,0.3002295680213606,unknown_seed_geometry_conflict,1200,0.9989820156090939,25,0.9325757575757576,0.03166666666666667,0.06742424242424241,0.054073902288188,3,28,2947
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,179,frame_179_layer_26,0.0,invalid_insufficient_depth,0,0.0,26,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,179,frame_179_layer_27,0.0,invalid_insufficient_depth,0,0.0,27,1.0,0.0,0.0,0.0,0,0,0
0.7816666666666666,1.0,0.08166666666666667,0.0,0.0,1,0.0,False,unknown,179,frame_179_layer_28,0.3002295680213606,unknown_ambiguous,1200,0.0,28,1.0,0.13666666666666666,0.0,0.0,1,28,5751
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,180,frame_180_layer_0,0.0,invalid_insufficient_depth,0,0.0,0,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,180,frame_180_layer_1,0.0,invalid_insufficient_depth,0,0.0,1,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,180,frame_180_layer_6,0.0,invalid_insufficient_depth,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,180,frame_180_layer_7,0.0,invalid_insufficient_depth,0,0.0,7,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,180,frame_180_layer_8,0.0,invalid_insufficient_depth,0,0.0,8,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,180,frame_180_layer_15,0.0,invalid_insufficient_depth,0,0.0,15,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,180,frame_180_layer_19,0.0,invalid_insufficient_depth,0,0.0,19,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,180,frame_180_layer_23,0.0,invalid_insufficient_depth,0,0.0,23,1.0,0.0,0.0,0.0,0,0,0
0.4166666666666667,1.0,0.12583333333333332,0.0,0.0,0,0.0,False,unknown,180,frame_180_layer_24,0.3002295680213606,unknown_ambiguous,1200,0.0,24,1.0,0.4575,0.0,0.0,4,28,2789
0.9016666666666666,0.9460715583943502,0.0625,0.05392844160564989,0.0417425040712712,4,-0.03449064268053004,False,unknown,180,frame_180_layer_25,0.3002295680213606,unknown_seed_geometry_conflict,1200,0.9946452476572959,25,0.9288262370540852,0.035833333333333335,0.07117376294591485,0.053011008872822875,2,28,2988
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,180,frame_180_layer_26,0.0,invalid_insufficient_depth,0,0.0,26,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,180,frame_180_layer_27,0.0,invalid_insufficient_depth,0,0.0,27,1.0,0.0,0.0,0.0,0,0,0
0.7983333333333333,1.0,0.09666666666666666,0.0,0.0,1,0.0,False,unknown,180,frame_180_layer_28,0.3002295680213606,unknown_ambiguous,1200,0.0,28,1.0,0.105,0.0,0.0,1,28,5746
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,181,frame_181_layer_0,0.0,invalid_insufficient_depth,0,0.0,0,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,181,frame_181_layer_1,0.0,invalid_insufficient_depth,0,0.0,1,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,181,frame_181_layer_6,0.0,invalid_insufficient_depth,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,181,frame_181_layer_7,0.0,invalid_insufficient_depth,0,0.0,7,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,181,frame_181_layer_8,0.0,invalid_insufficient_depth,0,0.0,8,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,181,frame_181_layer_15,0.0,invalid_insufficient_depth,0,0.0,15,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,181,frame_181_layer_19,0.0,invalid_insufficient_depth,0,0.0,19,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,181,frame_181_layer_23,0.0,invalid_insufficient_depth,0,0.0,23,1.0,0.0,0.0,0.0,0,0,0
0.6041666666666666,1.0,0.02,0.0,0.0,0,0.0,False,unknown,181,frame_181_layer_24,0.30003667393090827,unknown_ambiguous,1200,0.0,24,1.0,0.37583333333333335,0.0,0.0,0,27,2615
0.9183333333333333,0.9493670886075949,0.051666666666666666,0.05063291139240506,0.04008775428799362,2,-0.04159132007233257,False,unknown,181,frame_181_layer_25,0.30003667393090827,unknown_seed_geometry_conflict,1200,0.9977011494252873,25,0.9285714285714286,0.03,0.07142857142857142,0.06020134228187919,1,27,3045
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,181,frame_181_layer_26,0.0,invalid_insufficient_depth,0,0.0,26,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,181,frame_181_layer_27,0.0,invalid_insufficient_depth,0,0.0,27,1.0,0.0,0.0,0.0,0,0,0
0.9725,1.0,0.014166666666666666,0.0,0.0,0,0.0,False,unknown,181,frame_181_layer_28,0.30003667393090827,unknown_ambiguous,1200,0.0,28,1.0,0.013333333333333334,0.0,0.0,0,27,5788
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,182,frame_182_layer_0,0.0,invalid_insufficient_depth,0,0.0,0,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,182,frame_182_layer_1,0.0,invalid_insufficient_depth,0,0.0,1,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,182,frame_182_layer_6,0.0,invalid_insufficient_depth,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,182,frame_182_layer_7,0.0,invalid_insufficient_depth,0,0.0,7,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,182,frame_182_layer_8,0.0,invalid_insufficient_depth,0,0.0,8,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,182,frame_182_layer_15,0.0,invalid_insufficient_depth,0,0.0,15,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,182,frame_182_layer_19,0.0,invalid_insufficient_depth,0,0.0,19,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,182,frame_182_layer_23,0.0,invalid_insufficient_depth,0,0.0,23,1.0,0.0,0.0,0.0,0,0,0
0.7858333333333334,1.0,0.0016666666666666668,0.0,0.0,0,0.0,False,unknown,182,frame_182_layer_24,0.2991011413985326,unknown_ambiguous,1200,0.0,24,1.0,0.2125,0.0,0.0,0,27,2425
0.9341666666666667,0.937984496124031,0.04083333333333333,0.06201550387596899,0.04124149659863945,1,0.011881475041657596,False,unknown,182,frame_182_layer_25,0.2991011413985326,unknown_seed_geometry_conflict,1200,0.9945178974524347,25,0.9439252336448598,0.025,0.056074766355140186,0.05234080116887861,1,27,3101
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,182,frame_182_layer_26,0.0,invalid_insufficient_depth,0,0.0,26,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,182,frame_182_layer_27,0.0,invalid_insufficient_depth,0,0.0,27,1.0,0.0,0.0,0.0,0,0,0
0.9766666666666667,1.0,0.016666666666666666,0.0,0.0,0,0.0,False,unknown,182,frame_182_layer_28,0.2991011413985326,unknown_ambiguous,1200,0.0,28,1.0,0.006666666666666667,0.0,0.0,0,27,5721
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,183,frame_183_layer_0,0.0,invalid_insufficient_depth,0,0.0,0,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,183,frame_183_layer_1,0.0,invalid_insufficient_depth,0,0.0,1,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,183,frame_183_layer_6,0.0,invalid_insufficient_depth,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,183,frame_183_layer_7,0.0,invalid_insufficient_depth,0,0.0,7,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,183,frame_183_layer_8,0.0,invalid_insufficient_depth,0,0.0,8,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,183,frame_183_layer_15,0.0,invalid_insufficient_depth,0,0.0,15,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,183,frame_183_layer_19,0.0,invalid_insufficient_depth,0,0.0,19,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,183,frame_183_layer_23,0.0,invalid_insufficient_depth,0,0.0,23,1.0,0.0,0.0,0.0,0,0,0
0.475,1.0,0.15083333333333335,0.0,0.0,0,0.0,False,unknown,183,frame_183_layer_24,0.2910587567538082,unknown_ambiguous,1200,0.0,24,1.0,0.37416666666666665,0.0,0.0,3,27,2633
0.9191666666666667,0.9467455621301775,0.051666666666666666,0.05325443786982249,0.03685353603909325,2,-0.025227651206462642,False,unknown,183,frame_183_layer_25,0.2910587567538082,unknown_seed_geometry_conflict,1200,1.0,25,0.9341317365269461,0.029166666666666667,0.0658682634730539,0.058798114689709344,1,27,3012
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,183,frame_183_layer_26,0.0,invalid_insufficient_depth,0,0.0,26,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,183,frame_183_layer_27,0.0,invalid_insufficient_depth,0,0.0,27,1.0,0.0,0.0,0.0,0,0,0
0.915,1.0,0.020833333333333332,0.0,0.0,0,0.0,False,unknown,183,frame_183_layer_28,0.2910587567538082,unknown_ambiguous,1200,0.0,28,1.0,0.06416666666666666,0.0,0.0,0,27,5608
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,184,frame_184_layer_0,0.0,invalid_insufficient_depth,0,0.0,0,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,184,frame_184_layer_1,0.0,invalid_insufficient_depth,0,0.0,1,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,184,frame_184_layer_6,0.0,invalid_insufficient_depth,0,0.0,6,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,184,frame_184_layer_7,0.0,invalid_insufficient_depth,0,0.0,7,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,184,frame_184_layer_8,0.0,invalid_insufficient_depth,0,0.0,8,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,184,frame_184_layer_15,0.0,invalid_insufficient_depth,0,0.0,15,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,184,frame_184_layer_19,0.0,invalid_insufficient_depth,0,0.0,19,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,184,frame_184_layer_23,0.0,invalid_insufficient_depth,0,0.0,23,1.0,0.0,0.0,0.0,0,0,0
0.5275,1.0,0.14916666666666667,0.0,0.0,0,0.0,False,unknown,184,frame_184_layer_24,0.28032111648062175,unknown_ambiguous,1200,0.0,24,1.0,0.3233333333333333,0.0,0.0,2,26,2532
0.9025,0.960331984845566,0.05416666666666667,0.03966801515443395,0.020138888888888887,1,-0.06708634388731449,False,unknown,184,frame_184_layer_25,0.28032111648062175,unknown_seed_geometry_conflict,1200,0.9986491050320837,25,0.9267888129019088,0.043333333333333335,0.07321118709809124,0.06568172849250198,1,26,2961
